,Unnamed: 0,level_0,index,pl_name,planet_status,pl_massj,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,pl_radj,radius_error_min,radius_error_max,pl_orbper,orbital_period_error_min,orbital_period_error_max,pl_orbsmax,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,sy_vmag,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,st_mass,star_mass_error_min,star_mass_error_max,st_rad,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,st_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_refname,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_tefferr1,st_tefferr2,st_tefflim,st_raderr1,st_raderr2,st_radlim,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,decstr,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,_merge,signal_percent
13,13,13,13,CoRoT-2 b,Confirmed,3.31,0.16,0.16,,,,1.465,0.029,0.029,1.7429964,1.7e-06,1.7e-06,0.0281,0.0009,0.0009,0.0,,,87.84,0.1,0.1,9.4e-05,2007.0,2014-01-25,,,,,,,,,,2454706.4041,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-2,291.7791667,1.3838889,12.57,,,,,300.0,100.0,100.0,-0.04,0.08,0.08,0.97,0.06,0.06,0.902,0.018,0.018,G7V,,,,5575.0,66.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.014330796122386592
14,14,14,14,CoRoT-20 b,Confirmed,4.24,0.23,0.23,,,,0.84,0.04,0.04,9.24285,0.0,0.0,0.0902,0.0021,0.0021,0.562,0.013,0.013,88.21,0.53,0.53,7.3e-05,2011.0,2014-07-10,56.3,2.4,2.4,,,,,,,2455266.0001,0.0014,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-20,97.730434,0.22692,14.66,,,,,1230.0,120.0,120.0,0.14,0.12,0.12,1.14,0.08,0.08,0.92,,,G2V,0.1,0.04,0.04,5880.0,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0012052242174093912
15,15,15,15,CoRoT-21 b,Confirmed,2.26,0.31,0.31,,,,1.3,0.14,0.14,2.72474,0.00014,0.00014,0.0417,0.0011,0.0011,0.0,,,86.8,2.1,2.1,,2011.0,2014-01-24,,,,,,,,,,2454399.0282,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-21,101.05245,-0.29913,16.0,,,,,,,,0.0,0.1,0.1,1.29,0.09,0.09,1.945,0.21,0.21,F8IV,4.1,0.5,0.5,6200.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.004228335146628079
16,16,16,16,CoRoT-23 b,Confirmed,2.8,0.25,0.25,,,,1.08,0.13,0.13,3.6314,0.0001,0.0001,0.0477,0.0038,0.0038,0.16,0.017,0.017,85.7,1.5,1.5,8e-05,2011.0,2014-01-25,51.8,9.0,9.0,,,,,,,2455308.93732,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-23,279.782615,4.3578,15.63,,,,,600.0,50.0,50.0,0.05,0.1,0.1,1.14,0.08,0.08,1.61,0.18,0.18,G0V,7.2,1.0,1.0,5900.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.002311909209433157
17,17,17,17,CoRoT-25 b,Confirmed,0.27,0.04,0.04,,,,1.08,0.1,0.3,4.86069,6e-05,6e-05,0.0578,0.0029,0.0029,,,,84.5,0.8,0.3,,2012.0,2014-05-21,,,,,,,,,,2454577.4307,0.0008,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-25,280.6292,6.5139,15.0,,,,,1000.0,85.0,25.0,-0.01,0.13,0.13,1.09,0.05,0.11,1.19,0.03,0.14,G0V,5.2,1.3,1.3,6040.0,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.035088403732028886
18,18,18,18,CoRoT-26 b,Confirmed,0.52,0.05,0.05,,,,1.26,0.07,0.13,4.20474,5e-05,5e-05,0.0526,0.001,0.001,0.0,,,86.8,1.0,2.2,,2012.0,2014-05-27,,,,,,,,,,2454574.6811,0.0008,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-26,279.75,6.97,15.76,,,,,1670.0,205.0,110.0,0.01,0.13,0.13,1.09,0.06,0.06,1.79,0.09,0.18,G8IV,8.6,1.8,0.9,5590.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.015214273280939146
19,19,19,19,CoRoT-27 b,Confirmed,10.39,0.55,0.55,,,,1.007,0.044,0.044,3.57532,6e-05,6e-05,0.0476,0.0066,0.0066,0.065,0.065,0.0,86.7,0.87,1.2,,2012.0,2014-07-10,,,,,,,,,,2455748.684,0.001,0.001,,,,,,,,,,,,,,,,1500.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-27,278.4958,5.5386,15.54,,,,,,,,0.1,0.1,0.1,1.05,0.11,0.11,1.08,0.06,0.18,G2,4.21,2.72,2.72,5900.0,120.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0009202149782295049
21,21,21,21,CoRoT-29 b,Confirmed,0.85,0.2,0.2,0.85,0.2,0.2,0.9,0.16,0.16,2.85057,6e-06,6e-06,0.039,0.002,0.002,0.082,0.081,0.081,87.3,2.7,2.7,,2012.0,2015-04-27,87.0,210.0,49.0,,,,,,,2455753.115,0.001,0.001,,,,,,,0.43,0.44,0.44,,,,125.0,17.0,17.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-29,278.9042,6.4797,15.35,,,,,765.0,50.0,50.0,0.2,0.1,0.1,0.976,0.14,0.14,0.9,0.12,0.12,KOV,4.5,3.5,3.5,5260.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.010396850780889332
22,22,22,22,CoRoT-3 b,Confirmed,21.66,1.0,1.0,,,,1.19,0.1,0.1,4.2567994,5e-06,5e-06,0.057,0.003,0.003,0.0,,,85.9,0.8,0.8,8.4e-05,2008.0,2018-08-15,,,,,,,,,,2454283.1383,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Theoretical,,,CoRoT-3,292.0541667,0.1219444,13.3,,,,,680.0,160.0,160.0,0.14,0.04,0.04,1.41,0.08,0.08,1.44,0.08,0.08,F3V,2.0,0.4,0.4,6558.0,44.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0004805916379528829
23,23,23,23,CoRoT-30 b,Confirmed,2.9,0.22,0.22,,,,1.009,0.076,0.076,9.06005,0.00024,0.00024,0.0844,0.0012,0.0012,0.007,0.031,0.031,90.0,0.56,0.56,,2017.0,2019-09-02,178.1,100.0,100.0,,,,,,,2455665.5146,0.0012,0.0012,,,,,,,0.0,0.16,0.16,,,,283.0,20.0,20.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-30,277.600000008,6.835833352,15.65,,,,,960.0,40.0,68.0,0.02,0.1,0.1,0.98,0.05,0.03,0.91,0.03,0.09,G3V,3.0,2.4,3.7,5660.0,90.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0030893147075100433
24,24,24,24,CoRoT-31 b,Confirmed,0.84,0.34,0.34,,,,1.46,0.3,0.3,4.62941,0.00075,0.00075,0.0586,0.0034,0.0034,0.02,0.16,0.16,83.2,2.3,2.3,,2017.0,2019-09-02,303.6,107.9,107.9,,,,,,,2455843.9445,0.0044,0.0044,,,,,,,0.87,0.27,0.27,,,,88.0,35.0,35.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-31,94.820833339,-4.422222235,15.7,,,,,2190.0,710.0,710.0,0.0,0.1,0.1,1.25,0.22,0.22,2.15,0.6,0.56,G2IV,4.7,2.2,4.7,5370.0,126.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.010130960006127458
25,25,25,25,CoRoT-32 b,Confirmed,0.15,0.1,0.1,,,,0.57,0.06,0.06,6.71837,1e-05,1e-05,0.071,0.001,0.001,,,,89.0,0.5,0.5,,2017.0,2017-09-13,,,,,,,,,,2455901.811,0.002,0.002,,,,,,,,,,,,,,,,938.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-32,100.195833349,9.257500011,14.0,,,,,,,,0.0,0.2,0.2,1.09,0.08,0.08,0.79,0.09,0.09,G0VI,,,,5970.0,100.0,100.0,,,CoRoT-223977153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.015308807412557428
26,26,26,26,CoRoT-33 b,Confirmed,59.2,1.8,1.8,59.0,1.8,1.8,1.1,0.53,0.53,5.819143,1.8e-05,1.8e-05,0.0579,,,0.07,0.0016,0.0016,85.5,0.5,0.5,,2015.0,2015-08-25,179.3,0.87,0.87,,,,,,,2456676.3992,0.0037,0.0037,,,,,,,1.04,0.06,0.06,,,,7061.0,9.0,9.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-33,279.641666678,5.624722241,14.7,,,,,,,,0.44,0.1,0.1,0.86,0.004,0.004,0.94,0.008,0.14,G9V,4.6,0.0,5.0,5225.0,80.0,80.0,,,"2MASS 18383391 + 0537287, USNO-A2 0900-13338694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0002081685480463084
27,27,27,27,CoRoT-4 b,Confirmed,0.72,0.08,0.08,,,,1.19,0.05,0.05,9.20205,0.00037,0.00037,0.09,0.001,0.001,0.0,0.0,0.0,90.0,0.085,0.085,,2008.0,2013-06-05,,,,,,,,,,2454141.36416,0.00089,0.00089,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-4,102.1958333,-0.6727778,13.7,,,,,,,,0.05,0.07,0.07,1.1,0.02,0.02,1.15,0.03,0.03,F8V,1.0,0.3,0.3,6190.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.015217193157280602
28,28,28,28,CoRoT-5 b,Confirmed,0.467,0.024,0.047,,,,1.33,0.047,0.047,4.0378962,1.9e-06,1.9e-06,0.04947,0.00029,0.00029,0.09,0.04,0.04,85.83,1.38,1.38,0.000124,2008.0,2014-05-22,231.7,48.0,48.0,,,,,,,2454400.19885,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-5,101.2791667,0.8152778,14.0,,,,,400.0,0.0,0.0,-0.25,0.06,0.06,1.0,0.02,0.02,1.186,0.04,0.04,F9V,6.9,1.4,1.4,6100.0,65.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.041569367871075076
29,29,29,29,CoRoT-6 b,Confirmed,2.96,0.34,0.34,,,,1.166,0.035,0.035,8.886593,4e-06,4e-06,0.0855,0.0015,0.0015,0.1,inf,,89.07,0.3,0.3,,2009.0,2013-06-05,,,,2454595.6144,0.0002,0.0002,,,,2454702.2556,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-6,281.075,6.6633333,13.9,,,,,,,,-0.2,0.1,0.1,1.055,0.055,0.055,1.025,0.026,0.026,F9V,,,,6090.0,70.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.0041769176130978854
30,30,30,30,CoRoT-8 b,Confirmed,0.2158,0.034,0.034,,,,0.5692,0.0196,0.0196,6.21229,3e-05,3e-05,0.063,0.001,0.001,0.0,,,88.4,0.1,0.1,0.000166,2010.0,2018-11-20,,,,,,,,,,2454238.9743,0.0004,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,CoRoT-8,291.5875,1.4266667,14.8,,,,,380.0,100.0,100.0,0.3,0.1,0.1,0.88,0.04,0.04,0.77,0.02,0.02,K1V,3.0,inf,,5080.0,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.009947274793155079
32,32,33,33,EPIC 212036875 b,Confirmed,51.0,2.0,2.0,,,,0.83,0.03,0.03,5.16992,2e-05,2e-05,0.0621,0.002,0.0016,0.134,0.002,0.002,83.9,0.2,0.2,,2019.0,2019-08-08,163.0,1.0,1.0,2458130.538,0.065,0.068,,,,2458129.69869,0.00015,0.00015,,,,,,,0.92,0.005,0.005,,,,5289.0,13.0,13.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,EPIC 212036875 b,,EPIC 212036875,134.691666682,20.869166686,11.0,,,,,,,,-0.23,0.1,0.1,1.1241,0.11,0.1,1.4,0.06,0.06,,4.6,1.9,2.6,6231.0,50.0,50.0,,,EP212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,6.5763895485357e-05
33,33,34,34,EPIC 219388192 b,Confirmed,36.0,1.6,1.6,,,,0.846,0.021,0.021,5.292569,2.6e-05,2.6e-05,0.0593,0.0013,0.0013,0.1893,0.0021,0.0021,89.63,0.38,0.26,,2016.0,2019-03-11,346.0,1.3,1.3,2457339.826,0.019,0.019,,,,2457341.037008,8.1e-05,8.1e-05,1.0,,,,,,0.091,0.09,0.063,,,,4268.0,18.0,18.0,1164.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,CWW 89A b,,EPIC 219388192,289.391666678,-16.871666688,12.5,,,,,300.0,24.0,24.0,0.03,0.08,0.08,0.99,0.05,0.05,1.01,0.04,0.04,G,3.9,1.9,1.9,5850.0,85.0,85.0,,,"2MASS J19173402-1652177, CWW 89A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.00015468869615093415
34,34,35,35,EPIC 246851721 b,Confirmed,3.0,1.2,1.1,3.0,1.2,1.1,1.051,0.044,0.044,6.180235,1.4e-05,1.4e-05,0.07229,0.00075,0.00074,,,,86.21,0.17,0.17,,2018.0,2021-03-20,,,,2457858.93009,0.0001,0.0001,,,,2457865.11032,0.0001,0.0001,,,,358.53,0.86,0.87,0.647,0.018,0.017,,,,270.0,110.0,100.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 246851721,78.9197500136,16.2787416817,11.4,,,,,376.0,18.0,18.0,0.139,0.084,0.082,1.324,0.04,0.04,1.624,0.035,0.036,F5V,3.09,0.41,0.42,6189.0,52.0,47.0,,,"TYC 1283-739-1, 2MASS J05154075+1616435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.001672602563693828
35,35,37,37,GPX-1 b,Confirmed,19.7,1.6,1.6,,,,1.47,0.16,0.16,1.744579,8e-06,8e-06,0.0338,0.0003,0.0003,0.0,,,79.9,0.7,0.7,,2020.0,2020-09-28,,,,,,,,,,2458770.23823,0.0004,0.0004,,,,,,,,,,,,,2310.0,180.0,180.0,2300.0,50.0,50.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,GPX-1,38.370833343,56.025833341,11.3,,,,,,,,0.35,0.1,0.1,1.68,0.1,0.1,1.56,0.1,0.1,,0.27,0.15,0.09,7000.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.00122445295096341
36,36,38,38,HAT-P-1 b,Confirmed,0.525,0.019,0.019,,,,1.319,0.019,0.019,4.46529976,5.5e-07,5.5e-07,0.05561,0.00083,0.00083,0.067,inf,,85.634,0.056,0.056,0.000398,2006.0,2015-04-30,360.0,,,,,,,,,2453979.93202,0.00024,0.00024,,,,,,,,,,,,,,,,1322.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,,"C, H2O, K, O I",HAT-P-1,344.4458333,38.675,10.4,,,,,139.0,20.0,20.0,0.13,0.008,0.008,1.151,0.052,0.052,1.174,0.03,0.03,GOV,3.6,,,5980.0,49.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,0.03386111120898302
